_lowerFrequency,_higherFrequency,_term,_status,_shortComments
59000000000,59300000000,Mobile,primary,
59000000000,59300000000,Radiolocation,primary,
59000000000,59300000000,Space Research (passive),primary,
59300000000,64000000000,Fixed,primary,
59300000000,64000000000,Inter-Satellite,primary,
59300000000,64000000000,Mobile,primary,
59300000000,64000000000,Radiolocation,primary,
64000000000,65000000000,Fixed,primary,
64000000000,65000000000,Inter-Satellite,primary,
64000000000,65000000000,Mobile except aeronautical mobile,primary,
65000000000,66000000000,Earth Exploration-Satellite,primary,
65000000000,66000000000,Fixed,primary,
65000000000,66000000000,Inter-Satellite,primary,
65000000000,66000000000,Mobile except aeronautical mobile,primary,
65000000000,66000000000,Space Research,primary,
66000000000,71000000000,Inter-Satellite,primary,
66000000000,71000000000,Mobile,primary,
66000000000,71000000000,Mobile-Satellite,primary,
66000000000,71000000000,Radionavigation,primary,
66000000000,71000000000,Radionavigation-Satellite,primary,
71000000000,74000000000,Fixed,primary,
71000000000,74000000000,Fixed-Satellite (space-to-Earth),primary,
71000000000,74000000000,Mobile,primary,
71000000000,74000000000,Mobile-Satellite (space-to-Earth),primary,
74000000000,75500000000,Broadcasting,primary,
74000000000,75500000000,Broadcasting-Satellite,primary,
74000000000,75500000000,Fixed,primary,
74000000000,75500000000,Fixed-Satellite (space-to-Earth),primary,
74000000000,75500000000,Mobile,primary,
74000000000,75500000000,Space Research (space-to-Earth),secondary,
75500000000,76000000000,Broadcasting,primary,
75500000000,76000000000,Broadcasting-Satellite,primary,
75500000000,76000000000,Fixed,primary,
75500000000,76000000000,Fixed-Satellite (space-to-Earth),primary,
75500000000,76000000000,Amateur-Satellite,secondary,
75500000000,76000000000,Amateur,secondary,
76000000000,77500000000,Radio Astronomy,primary,
76000000000,77500000000,Radiolocation,primary,
76000000000,77500000000,Amateur,secondary,
76000000000,77500000000,Amateur-Satellite,secondary,
76000000000,77500000000,Space Research (space-to-Earth),secondary,
77500000000,78000000000,Amateur,primary,
77500000000,78000000000,Amateur-Satellite,primary,
77500000000,78000000000,Radiolocation,primary,
77500000000,78000000000,Space Research (space-to-Earth),secondary,
78000000000,79000000000,Radiolocation,primary,
78000000000,79000000000,Amateur,secondary,
78000000000,79000000000,Amateur-Satellite,secondary,
78000000000,79000000000,Radio Astronomy,secondary,
78000000000,79000000000,Space Research (space-to-Earth),secondary,
79000000000,81000000000,Radio Astronomy,primary,
79000000000,81000000000,Radiolocation,primary,
79000000000,81000000000,Amateur,secondary,
79000000000,81000000000,Amateur-Satellite (space-to-Earth),secondary,
81000000000,84000000000,Fixed,primary,
81000000000,84000000000,Fixed-Satellite (Earth-to-space),primary,
81000000000,84000000000,Mobile,primary,
81000000000,84000000000,Mobile-Satellite (Earth-to-space),primary,
81000000000,84000000000,Radio Astronomy,primary,
81000000000,84000000000,Space Research (space-to-Earth),secondary,
84000000000,86000000000,Fixed,primary,
84000000000,86000000000,Fixed-Satellite (Earth-to-space),primary,
84000000000,86000000000,Mobile,primary,
84000000000,86000000000,Radio Astronomy,primary,
86000000000,92000000000,Earth Exploration-Satellite (passive),primary,
86000000000,92000000000,Radio Astronomy,primary,
86000000000,92000000000,Space Research (passive),primary,
92000000000,94000000000,Fixed,primary,
92000000000,94000000000,Mobile,primary,
92000000000,94000000000,Radio Astronomy,primary,
92000000000,94000000000,Radiolocation,primary,
94000000000,94100000000,Earth Exploration-Satellite (active),primary,
94000000000,94100000000,Radiolocation,primary,
94000000000,94100000000,Space Research (active),primary,
94000000000,94100000000,Radio Astronomy,secondary,
94100000000,95000000000,Fixed,primary,
94100000000,95000000000,Mobile,primary,
94100000000,95000000000,Radio Astronomy,primary,
94100000000,95000000000,Radiolocation,primary,
95000000000,100000000000,Fixed,primary,
95000000000,100000000000,Mobile,primary,
95000000000,100000000000,Radio Astronomy,primary,
95000000000,100000000000,Radiolocation,primary,
95000000000,100000000000,Radionavigation,primary,
95000000000,100000000000,Radionavigation-Satellite,primary,
100000000000,102000000000,Earth Exploration-Satellite (passive),primary,
100000000000,102000000000,Radio Astronomy,primary,
100000000000,102000000000,Space Research (passive),primary,
102000000000,105000000000,Fixed,primary,
102000000000,105000000000,Mobile,primary,
102000000000,105000000000,Radio Astronomy,primary,
105000000000,109500000000,Fixed,primary,
105000000000,109500000000,Mobile,primary,
105000000000,109500000000,Radio Astronomy,primary,
105000000000,109500000000,Space Research (passive),primary,
109500000000,111800000000,Earth Exploration-Satellite (passive),primary,
109500000000,111800000000,Radio Astronomy,primary,
109500000000,111800000000,Space Research (passive),primary,
111800000000,114250000000,Fixed,primary,
111800000000,114250000000,Mobile,primary,
111800000000,114250000000,Radio Astronomy,primary,
111800000000,114250000000,Space Research (passive),primary,
114250000000,116000000000,Earth Exploration-Satellite (passive),primary,
114250000000,116000000000,Radio Astronomy,primary,
114250000000,116000000000,Space Research (passive),primary,
116000000000,119980000000,Earth Exploration-Satellite (passive),primary,
116000000000,119980000000,Inter-Satellite,primary,
119980000000,120020000000,Earth Exploration-Satellite (passive),primary,
119980000000,120020000000,Inter-Satellite,primary,
120020000000,122250000000,Earth Exploration-Satellite (passive),primary,
120020000000,122250000000,Inter-Satellite,primary,
120020000000,122250000000,Space Research (passive),primary,
122250000000,123000000000,Fixed,primary,
122250000000,123000000000,Inter-Satellite,primary,
122250000000,123000000000,Mobile,primary,
122250000000,123000000000,Amateur,secondary,
122250000000,123000000000,Amateur-Satellite,secondary,
123000000000,130000000000,Fixed-Satellite (space-to-Earth),primary,
123000000000,130000000000,Mobile-Satellite (space-to-Earth),primary,
123000000000,130000000000,Radionavigation,primary,
123000000000,130000000000,Radionavigation-Satellite,primary,
123000000000,130000000000,Radio Astronomy,primary,
130000000000,134000000000,Earth Exploration-Satellite (active),primary,
130000000000,134000000000,Fixed,primary,
130000000000,134000000000,Inter-Satellite,primary,
130000000000,134000000000,Mobile,primary,
130000000000,134000000000,Radio Astronomy,primary,
134000000000,136000000000,Amateur,primary,
134000000000,136000000000,Amateur-Satellite,primary,
134000000000,136000000000,Radio Astronomy,secondary,
136000000000,141000000000,Radio Astronomy,primary,
136000000000,141000000000,Radiolocation,primary,
136000000000,141000000000,Amateur,secondary,
136000000000,141000000000,Amateur-Satellite,secondary,
141000000000,148500000000,Fixed,primary,
141000000000,148500000000,Mobile,primary,
141000000000,148500000000,Radio Astronomy,primary,
141000000000,148500000000,Radiolocation,primary,
148500000000,151500000000,Earth Exploration-Satellite (passive),primary,
148500000000,151500000000,Radio Astronomy,primary,
148500000000,151500000000,Space Research (passive),primary,
151500000000,155500000000,Fixed,primary,
151500000000,155500000000,Mobile,primary,
151500000000,155500000000,Radio Astronomy,primary,
151500000000,155500000000,Radiolocation,primary,
155500000000,158500000000,Earth Exploration-Satellite (passive),primary,
155500000000,158500000000,Fixed,primary,
155500000000,158500000000,Mobile,primary,
155500000000,158500000000,Radio Astronomy,primary,
155500000000,158500000000,Space Research (passive),primary,
158500000000,164000000000,Fixed,primary,
158500000000,164000000000,Fixed-Satellite (space-to-Earth),primary,
158500000000,164000000000,Mobile,primary,
158500000000,164000000000,Mobile-Satellite (space-to-Earth),primary,
164000000000,167000000000,Earth Exploration-Satellite (passive),primary,
164000000000,167000000000,Radio Astronomy,primary,
164000000000,167000000000,Space Research (passive),primary,
167000000000,174500000000,Fixed,primary,
167000000000,174500000000,Fixed-Satellite (space-to-Earth),primary,
167000000000,174500000000,Inter-Satellite,primary,
167000000000,174500000000,Mobile,primary,
174500000000,174800000000,Fixed,primary,
174500000000,174800000000,Inter-Satellite,primary,
174500000000,174800000000,Mobile,primary,
174800000000,182000000000,Earth Exploration-Satellite (passive),primary,
174800000000,182000000000,Inter-Satellite,primary,
174800000000,182000000000,Space Research (passive),primary,
182000000000,185000000000,Earth Exploration-Satellite (passive),primary,
182000000000,185000000000,Radio Astronomy,primary,
182000000000,185000000000,Space Research (passive),primary,
185000000000,190000000000,Earth Exploration-Satellite (passive),primary,
185000000000,190000000000,Inter-Satellite,primary,
185000000000,190000000000,Space Research (passive),primary,
190000000000,191800000000,Earth Exploration-Satellite (passive),primary,
190000000000,191800000000,Space Research (passive),primary,
191800000000,200000000000,Fixed,primary,
191800000000,200000000000,Inter-Satellite,primary,
191800000000,200000000000,Mobile,primary,
191800000000,200000000000,Mobile-Satellite,primary,
191800000000,200000000000,Radionavigation,primary,
191800000000,200000000000,Radionavigation-Satellite,primary,
200000000000,202000000000,Earth Exploration-Satellite (passive),primary,
200000000000,202000000000,Radio Astronomy,primary,
200000000000,202000000000,Space Research (passive),primary,
202000000000,209000000000,Earth Exploration-Satellite (passive),primary,
202000000000,209000000000,Radio Astronomy,primary,
202000000000,209000000000,Space Research (passive),primary,
209000000000,217000000000,Fixed,primary,
209000000000,217000000000,Fixed-Satellite (Earth-to-space),primary,
209000000000,217000000000,Mobile,primary,
209000000000,217000000000,Radio Astronomy,primary,
217000000000,226000000000,Fixed,primary,
217000000000,226000000000,Fixed-Satellite (Earth-to-space),primary,
217000000000,226000000000,Mobile,primary,
217000000000,226000000000,Radio Astronomy,primary,
217000000000,226000000000,Space Research (passive),primary,
226000000000,231500000000,Earth Exploration-Satellite (passive),primary,
226000000000,231500000000,Radio Astronomy,primary,
226000000000,231500000000,Space Research (passive),primary,
231500000000,232000000000,Fixed,primary,
231500000000,232000000000,Fixed-Satellite (space-to-Earth),primary,
231500000000,232000000000,Radiolocation,secondary,
232000000000,235000000000,Fixed,primary,
232000000000,235000000000,Fixed-Satellite (space-to-Earth),primary,
232000000000,235000000000,Mobile,primary,
232000000000,235000000000,Radiolocation,secondary,
235000000000,238000000000,Earth Exploration-Satellite (passive),primary,
235000000000,238000000000,Fixed-Satellite (space-to-Earth),primary,
235000000000,238000000000,Space Research (passive),primary,
238000000000,240000000000,Fixed,primary,
238000000000,240000000000,Fixed-Satellite (space-to-Earth),primary,
238000000000,240000000000,Mobile,primary,
238000000000,240000000000,Radiolocation,primary,
238000000000,240000000000,Radionavigation,primary,
238000000000,240000000000,Radionavigation-Satellite,primary,
240000000000,241000000000,Fixed,primary,
240000000000,241000000000,Mobile,primary,
240000000000,241000000000,Radiolocation,primary,
241000000000,248000000000,Radio Astronomy,primary,
241000000000,248000000000,Radiolocation,primary,
241000000000,248000000000,Amateur,secondary,
241000000000,248000000000,Amateur-Satellite,secondary,
248000000000,250000000000,Amateur,primary,
248000000000,250000000000,Amateur-Satellite,primary,
248000000000,250000000000,Radio Astronomy,secondary,
250000000000,252000000000,Earth Exploration-Satellite (passive),primary,
250000000000,252000000000,Radio Astronomy,primary,
250000000000,252000000000,Space Research (passive),primary,
252000000000,265000000000,Fixed,primary,
252000000000,265000000000,Mobile,primary,
252000000000,265000000000,Mobile-Satellite (Earth-to-space),primary,
252000000000,265000000000,Radio Astronomy,primary,
252000000000,265000000000,Radionavigation,primary,
252000000000,265000000000,Radionavigation-Satellite,primary,
265000000000,275000000000,Fixed,primary,
265000000000,275000000000,Fixed-Satellite (Earth-to-space),primary,
265000000000,275000000000,Mobile,primary,
265000000000,275000000000,Radio Astronomy,primary,
275000000000,3000000000000,Not allocated,primary,
